defect_id,tenant_id,vin,part_id,supplier_id,defect_code,defect_description,defect_category,severity,detected_at_stage,detected_ts,resolved_ts,created_at
DF001,fab_trucking,1FABX900A0001001,PRT-PAINT-001,,DEF-PAINT-001,Minor paint defect on cab door,COSMETIC,MINOR,IN_PLANT,2024-11-01 17:00:00,2024-11-02 07:30:00,2024-11-01
DF002,fab_trucking,1FABX900A0001002,PRT-WIPER-001,SUP-005,DEF-ELEC-001,Wiper motor intermittent,ELECTRICAL,MINOR,IN_PLANT,2024-11-02 13:00:00,2024-11-03 09:00:00,2024-11-02
DF003,fab_trucking,1FABX900A0001003,PRT-ECU-001,SUP-001,DEF-FUNC-001,ECU communication fault,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-03 15:00:00,,2024-11-03
DF004,fab_trucking,1FABX900A0001003,PRT-SENS-001,SUP-001,DEF-ELEC-002,Sensor calibration drift,ELECTRICAL,MAJOR,IN_PLANT,2024-11-03 15:30:00,,2024-11-03
DF005,fab_trucking,1FABM500A0001007,PRT-BRAKE-001,SUP-015,DEF-STRUC-001,Brake pad uneven wear pattern,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 17:00:00,2024-11-22 09:00:00,2024-11-05
DF006,fab_trucking,1FABM500A0001007,PRT-ROTOR-001,SUP-015,DEF-STRUC-002,Rotor surface imperfection,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 17:30:00,2024-11-22 09:00:00,2024-11-05
DF007,fab_trucking,1FABM500A0001007,PRT-BRAKE-001,SUP-015,DEF-STRUC-003,Brake line fitting loose,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 18:00:00,2024-11-22 09:00:00,2024-11-05
DF008,fab_trucking,1FABX900E0001010,PRT-BATT-002,,DEF-ELEC-003,Battery connector alignment,ELECTRICAL,MINOR,IN_PLANT,2024-11-06 19:00:00,2024-11-18 10:00:00,2024-11-06
DF009,fab_trucking,1FABX900E0001011,PRT-BATT-001,SUP-003,DEF-FUNC-002,Battery cooling system fault,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-08 17:00:00,,2024-11-08
DF010,fab_trucking,1FABX900E0001011,PRT-CTRL-001,SUP-020,DEF-FUNC-003,BMS communication error,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-08 17:30:00,,2024-11-08
DF011,fab_trucking,1FABM550A0001016,PRT-REFRIG-001,SUP-002,DEF-FUNC-004,Compressor startup delay,FUNCTIONAL,MINOR,IN_PLANT,2024-11-10 17:00:00,2024-11-20 10:00:00,2024-11-10
DF012,fab_trucking,1FABX900A0001019,PRT-HAZM-001,SUP-014,DEF-FUNC-005,Hazmat seal integrity concern,FUNCTIONAL,MAJOR,IN_PLANT,2024-11-12 19:00:00,,2024-11-12
