truck_model_id,tenant_id,model_code,model_name,model_year,segment,base_msrp,created_at,updated_at
TM001,fab_trucking,FT-X900,X900 Heavy Hauler,2024,HEAVY_DUTY,185000.00,2023-01-01,2024-01-01
TM002,fab_trucking,FT-X700,X700 Long Haul,2024,HEAVY_DUTY,165000.00,2023-01-01,2024-01-01
TM003,fab_trucking,FT-M500,M500 Regional,2024,MEDIUM_DUTY,95000.00,2023-01-01,2024-01-01
TM004,fab_trucking,FT-M400,M400 City Delivery,2024,MEDIUM_DUTY,82000.00,2023-01-01,2024-01-01
TM005,fab_trucking,FT-L300,L300 Light Commercial,2024,LIGHT_DUTY,55000.00,2023-01-01,2024-01-01
TM006,fab_trucking,FT-X900E,X900 Electric,2024,HEAVY_DUTY,245000.00,2023-06-01,2024-01-01
TM007,fab_trucking,FT-X800,X800 Sleeper Cab,2024,HEAVY_DUTY,175000.00,2023-01-01,2024-01-01
TM008,fab_trucking,FT-M550,M550 Refrigerated,2024,MEDIUM_DUTY,115000.00,2023-01-01,2024-01-01
TM009,fab_trucking,FT-X700H,X700 Hybrid,2025,HEAVY_DUTY,195000.00,2024-01-01,2024-06-01
TM010,fab_trucking,FT-M450,M450 Flatbed,2024,MEDIUM_DUTY,88000.00,2023-01-01,2024-01-01
