claim_id,dealer_id,vin,fleet_id,technician_id,filed_date,repair_date,claim_year,claim_month,claim_quarter,mileage_at_repair,vehicle_model,model_year,claim_type,symptom_reported,total_parts_cost,total_labor_hours,total_labor_cost,total_claim_amount,num_line_items,technician_narrative,status,risk_score,is_anomaly,anomaly_tier,anomaly_flags,days_to_warranty_end,prior_claims_on_vin,campaign_id,pre_authorized,submission_channel
WC-2023000001,DLR-008,3AKJHLDR6M1158,FLT-0026,DLR-008-TECH-04,2023-07-03,2023-07-03,2023,7,Q3,415598,Freightliner 114SD,2024,Base Warranty,Oil pressure warning,4062.64,8.2,1025.0,5087.64,3,Overhauled Alternator Assembly. Replaced Brake Caliper Assembly. Cleaned and reinstalled Radiator Assembly. Verified repair and road tested.,Submitted,13,N,,,2287,0,,Y,PRISM Batch Upload
WC-2023000002,DLR-011,3AKKGLDR3W1195,FLT-0029,DLR-011-TECH-01,2024-09-19,2024-09-16,2024,9,Q3,1000,Freightliner 114SD,2024,Emissions Warranty,Excessive exhaust smoke,4993.1,7.1,887.5,5880.6,3,Diagnosed and replaced Coolant Pump. Diagnosed and replaced EGR Cooler Assembly. Diagnosed and replaced Oil Cooler. Verified repair and road tested.,Escalated,9,N,,,1632,0,,Y,Mobile App
WC-2023000003,DLR-001,3AKJGLDR3E1004,FLT-0016,DLR-001-TECH-12,2025-01-11,2025-01-09,2025,1,Q1,249673,Freightliner 108SD,2023,Campaign/Recall,Overheating at idle,2991.58,5.3,662.5,3654.08,2,Replaced DPF Filter Element. Inspected and repaired Air Compressor. Verified repair and road tested.,Submitted,20,N,,,308,0,CAMP-0006,N,API
WC-2023000004,DLR-009,3AKJGLDR4S1020,FLT-0002,DLR-009-TECH-02,2025-01-18,2025-01-17,2025,1,Q1,330521,Western Star 49X,2024,Goodwill,Battery not charging,8290.84,6.1,762.5,9053.34,2,Resealed Transmission Control Module. Replaced Differential Assembly. Verified repair and road tested.,Submitted,13,N,,,1540,0,,Y,PRISM Batch Upload
WC-2023000005,DLR-005,3AKJGLDR1R1015,FLT-0037,DLR-005-TECH-02,2025-07-17,2025-07-13,2025,7,Q3,184561,Freightliner Cascadia,2023,Goodwill,Battery not charging,4438.0,7.6,950.0,5388.0,3,Cleaned and reinstalled Turbocharger Assembly. Recalibrated Air Compressor. Diagnosed and replaced Battery Disconnect Switch. Verified repair and road tested.,Under Review,4,N,,,1139,0,,Y,API
WC-2023000006,DLR-009,3AKJGLDR7Q1082,FLT-0016,DLR-009-TECH-01,2023-11-21,2023-11-20,2023,11,Q4,369470,Western Star 47X,2022,Campaign/Recall,Excessive exhaust smoke,3368.53,9.0,1125.0,4493.53,3,Resealed Intercooler. Overhauled Air Compressor. Recalibrated NOx Sensor. Verified repair and road tested.,Under Review,22,N,,,651,0,CAMP-0013,Y,API
WC-2023000007,DLR-016,3AKLHLDR0A1128,FLT-0002,DLR-016-TECH-08,2025-08-04,2025-07-31,2025,8,Q3,6560,Western Star 47X,2022,Extended Warranty,Turbo boost pressure low,733.61,3.0,375.0,1108.61,1,Replaced Fan Clutch Assembly. Verified repair and road tested.,Approved,36,N,,,132,0,,N,PRISM Batch Upload
WC-2023000008,DLR-001,3AKKHLDR8M1116,FLT-0002,DLR-001-TECH-05,2025-01-11,2025-01-05,2025,1,Q1,135858,Freightliner 114SD,2024,Goodwill,Brake warning indicator,5552.56,8.4,1050.0,6602.56,3,Cleaned and reinstalled Transmission Control Module. Replaced Starter Motor. Replaced Oil Cooler. Verified repair and road tested.,Submitted,22,N,,,510,0,,N,PRISM Batch Upload
WC-2023000009,DLR-008,3AKLHLDR8U1041,FLT-0024,DLR-008-TECH-04,2025-04-09,2025-04-06,2025,4,Q2,51231,Freightliner M2 112,2024,Base Warranty,Electrical intermittent fault,302.79,0.8,100.0,402.79,1,Cleaned and reinstalled Driveshaft U-Joint. Verified repair and road tested.,Submitted,8,N,,,468,0,,N,PRISM Batch Upload
WC-2023000010,DLR-009,3AKJGLDR7Q1082,FLT-0016,DLR-009-TECH-01,2024-08-03,2024-08-02,2024,8,Q3,392640,Western Star 47X,2022,Policy Adjustment,Check engine light on,2179.63,4.2,525.0,2704.63,2,Recalibrated Driveshaft U-Joint. Cleaned and reinstalled Radiator Assembly. Verified repair and road tested.,Approved,36,N,,,395,1,,N,Mobile App
